City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kaitangata,100,NZ,1632002234,62,-46.2817,169.8464,48.52,4.83
Kapaa,91,US,1632002234,59,22.0752,-159.319,81.12,5.01
Ahipara,38,NZ,1632002235,61,-35.1667,173.1667,57.15,3.96
Avarua,20,CK,1632002235,65,-21.2078,-159.775,80.65,16.11
Lompoc,20,US,1632002236,69,34.6391,-120.4579,77.14,8.01
Qaanaaq,91,GL,1632002236,72,77.484,-69.3632,12.36,6.04
Sioux Lookout,75,CA,1632002237,42,50.1001,-91.917,68.38,10.36
Marsabit,88,KE,1632002237,46,2.3284,37.9899,71.04,19.75
Lapeer,1,US,1632002051,49,43.0514,-83.3188,79.34,5.75
Faanui,28,PF,1632002238,74,-16.4833,-151.75,78.24,19.91
Rio Grande,33,BR,1632002238,92,-32.035,-52.0986,64.51,8.01
Kochevo,100,RU,1632002239,78,59.5994,54.3125,36.01,11.01
Yar-Sale,100,RU,1632002239,98,66.8333,70.8333,33.46,23.44
Beringovskiy,70,RU,1632002240,65,63.05,179.3167,48.61,2.3
Mar del Plata,0,AR,1632002240,77,-38.0023,-57.5575,57.22,12.66
Shimoda,100,JP,1632002240,91,34.6667,138.95,75.99,14.52
Nam Phong,31,TH,1632002241,90,16.7023,102.8557,79.12,2.21
Bairiki Village,40,KI,1632002241,78,1.3292,172.9752,82.4,10.36
Kamaishi,31,JP,1632002242,82,39.2667,141.8833,66.0,3.71
Souillac,75,MU,1632002242,78,-20.5167,57.5167,70.18,3.44
Upernavik,20,GL,1632002243,57,72.7868,-56.1549,21.72,5.66
Vestmannaeyjar,84,IS,1632002243,87,63.4427,-20.2734,51.55,18.12
Foumban,100,CM,1632002243,96,5.7291,10.9001,63.45,3.74
Paso de Carrasco,90,UY,1632002244,100,-34.8603,-56.0522,57.65,12.66
Winneba,99,GH,1632002244,92,5.3511,-0.6231,77.47,4.83
Bethanien,40,NA,1632002245,36,-26.502,17.1583,56.79,7.38
Ribeira Grande,54,PT,1632002245,67,38.5167,-28.7,68.47,11.1
Karachi,37,PK,1632002246,74,24.9056,67.0822,84.02,9.22
Tiksi,100,RU,1632002246,80,71.6872,128.8694,34.07,17.09
Okahandja,0,NA,1632002246,24,-21.9833,16.9167,73.71,7.16
Ancud,45,CL,1632002247,72,-41.8697,-73.8203,51.33,6.04
Maniitsoq,4,GL,1632002247,54,65.4167,-52.9,36.25,2.68
Bandarbeyla,66,SO,1632002248,78,9.4942,50.8122,79.38,27.81
Pacific Grove,3,US,1632002248,71,36.6177,-121.9166,80.58,5.01
Wagga Wagga,1,AU,1632002249,100,-35.1167,147.3667,48.6,0.0
Hong Kong,91,HK,1632002249,84,22.2855,114.1577,85.32,11.43
Madera,0,US,1632001977,22,37.1666,-119.8343,87.98,8.97
Nova Olímpia,5,BR,1632002250,16,-14.7972,-57.2881,92.3,3.91
Hilo,90,US,1632002155,74,19.7297,-155.09,81.28,3.44
Bambous Virieux,75,MU,1632002251,78,-20.3428,57.7575,70.05,3.44
Nouadhibou,86,MR,1632002251,89,20.931,-17.0347,78.78,11.5
Abu Dhabi,0,AE,1632001953,66,24.4667,54.3667,91.42,3.44
Concepción del Oro,2,MX,1632002252,24,24.6333,-101.4167,76.03,7.72
Saint Paul Harbor,0,US,1632002252,52,57.79,-152.4072,52.09,8.79
Alofi,4,NU,1632002252,78,-19.0595,-169.9187,82.29,11.5
George Town,40,MY,1632002253,92,5.4112,100.3354,77.9,2.3
Aklavik,90,CA,1632002253,81,68.2191,-135.0107,46.4,3.44
Tessalit,3,ML,1632002254,10,20.1986,1.0114,94.3,8.37
Marawi,73,PH,1632002254,90,7.9986,124.2928,64.65,3.18
Manas,90,RU,1632002254,82,42.7275,47.6785,65.57,6.71
Longyearbyen,75,SJ,1632002255,76,78.2186,15.6401,48.04,16.11
Saint Anthony,1,US,1632002255,36,45.0205,-93.218,80.29,5.99
Nārāyanpet,100,IN,1632002256,78,16.7333,77.5,75.51,4.41
Hithadhoo,51,MV,1632002256,74,-0.6,73.0833,82.65,5.99
Hobart,75,AU,1632002049,67,-42.8794,147.3294,54.27,8.99
Taldan,1,RU,1632002257,80,53.6667,124.8,34.16,3.24
Meulaboh,100,ID,1632002257,98,4.1363,96.1285,73.98,6.17
Terney,12,RU,1632002258,68,45.0503,136.6092,52.92,8.05
Pimentel,0,PE,1632002258,64,-6.8367,-79.9342,68.29,18.41
Bam,0,IR,1632002258,8,29.106,58.357,83.5,4.61
Severo-Kuril'sk,100,RU,1632002259,90,50.6789,156.125,52.23,13.71
Arraial do Cabo,40,BR,1632002259,83,-22.9661,-42.0278,73.36,5.75
São Filipe,57,CV,1632002260,84,14.8961,-24.4956,78.93,8.93
Vila,7,PT,1632002260,83,42.0304,-8.1588,52.34,3.53
Acajutla,63,SV,1632002261,76,13.5928,-89.8275,83.84,5.77
Esperance,99,AU,1632002261,88,-33.8667,121.9,53.44,12.15
Tehri,5,IN,1632002261,94,30.3833,78.4833,71.8,2.21
Port Lincoln,22,AU,1632002262,72,-34.7333,135.8667,55.72,19.26
Juegang,0,CN,1632002262,90,32.3174,121.1855,69.24,8.34
Quelimane,75,MZ,1632002263,78,-17.8786,36.8883,73.35,5.75
Olinda,40,BR,1632002263,69,-8.0089,-34.8553,76.73,14.97
Trofors,100,NO,1632002264,75,65.5333,13.4063,51.15,4.54
Butka,39,RU,1632002264,90,56.7179,63.7866,35.44,9.84
Goundam,19,ML,1632002264,22,16.4145,-3.6708,97.54,4.99
Pringsewu,56,ID,1632002265,91,-5.3582,104.9744,72.1,1.79
Cape Town,0,ZA,1632002265,73,-33.9258,18.4232,60.89,7.0
Massakory,47,TD,1632002266,53,12.996,15.7293,85.62,6.33
Codrington,100,AU,1632002266,77,-38.2667,141.9667,52.79,20.67
Karratha,0,AU,1632002267,38,-20.7377,116.8463,70.99,7.05
Mayo,3,US,1632002267,77,38.8876,-76.5119,87.26,4.0
Mount Isa,12,AU,1632002267,43,-20.7333,139.5,73.17,10.36
Dhankutā,96,NP,1632002268,92,26.9833,87.3333,67.8,0.85
kimparana,65,ML,1632002268,65,12.8347,-4.9244,80.73,5.86
Havelock,39,US,1632002269,71,34.8791,-76.9013,84.97,1.99
Zinder,81,NE,1632002269,28,13.8072,8.9881,91.49,9.15
Namatanai,63,PG,1632002270,73,-3.6667,152.4333,83.28,9.64
Kinwat,88,IN,1632002270,80,19.6333,78.2,75.27,1.81
‘Āhuimanu,62,US,1632002271,63,21.4447,-157.8378,83.86,20.33
Villaviciosa,8,ES,1632002271,73,43.4813,-5.4357,62.22,5.97
Yumen,30,CN,1632002271,32,40.2833,97.2,63.57,10.76
Tselinnoye,54,RU,1632002272,65,53.0833,85.6667,43.23,3.58
Omsukchan,99,RU,1632002272,87,62.5333,155.8,41.22,5.61
Saskylakh,61,RU,1632002273,97,71.9167,114.0833,22.82,2.26
Castro,54,BR,1632002273,76,-24.7911,-50.0119,68.14,2.44
Tambacounda,20,SN,1632002274,89,13.7539,-13.7586,82.45,0.0
Comodoro Rivadavia,40,AR,1632002274,76,-45.8667,-67.5,48.06,6.91
Kibala,0,TD,1632002274,94,9.1104,18.3463,76.95,0.0
Izyaslav,100,UA,1632002275,89,50.1195,26.8213,52.2,6.15
Vostok,2,RU,1632002275,80,46.4856,135.8833,41.02,3.33
Provideniya,2,RU,1632002276,84,64.3833,-173.3,46.49,7.58
Berëzovka,100,BY,1632002276,95,53.7214,25.4993,42.76,13.53
Kahului,40,US,1632002012,74,20.8947,-156.47,82.42,20.71
Chokurdakh,70,RU,1632002277,80,70.6333,147.9167,28.72,5.19
Saint George,59,US,1632002277,70,37.1041,-113.5841,81.07,6.58
San Cristobal,86,VE,1632002278,84,7.7669,-72.225,80.78,3.87
Airai,89,TL,1632002278,52,-8.9266,125.4092,58.35,3.0
Phan Thiet,100,VN,1632002278,87,10.9333,108.1,77.25,2.55
Gigmoto,100,PH,1632002279,93,13.7796,124.39,77.7,3.47
Laurinburg,97,US,1632002279,82,34.7741,-79.4628,88.05,4.61
Ponta do Sol,43,PT,1632002280,70,32.6667,-17.1,72.72,7.94
Kigoma,75,TZ,1632002280,94,-4.8769,29.6267,72.19,0.0
Óbidos,27,BR,1632002281,56,-1.9175,-55.5181,84.54,4.18
Roald,90,NO,1632002281,87,62.5833,6.1333,57.33,4.61
Isangel,75,VU,1632002281,73,-19.55,169.2667,75.31,9.22
Puerto del Rosario,20,ES,1632002282,73,28.5004,-13.8627,74.95,13.8
Honiara,76,SB,1632002282,72,-9.4333,159.95,84.34,10.02
Mahébourg,75,MU,1632002283,78,-20.4081,57.7,70.09,3.44
Middleton,71,GB,1632002283,76,53.55,-2.2,65.44,3.87
Orlik,97,RU,1632002284,63,52.5178,99.825,45.28,2.13
Matagami,90,CA,1632002284,76,49.7502,-77.6328,53.71,5.75
Dingle,72,PH,1632002285,90,10.9995,122.6711,76.1,2.53
Thompson,90,CA,1632002285,55,55.7435,-97.8558,59.16,6.91
Ilebo,96,CD,1632002286,92,-4.3167,20.5833,70.92,1.34
Iaçu,2,BR,1632002286,58,-12.7672,-40.2117,75.11,11.5
Itarema,4,BR,1632002287,80,-2.9248,-39.9167,78.73,16.15
Hibbing,28,US,1632002287,38,47.4272,-92.9377,72.9,10.78
College,46,US,1632002288,56,64.8569,-147.8028,45.59,1.01
Moyale,88,KE,1632002288,44,3.5167,39.0584,75.11,12.21
Eyl,52,SO,1632002289,81,7.9803,49.8164,78.76,9.08
Bosaso,8,SO,1632002289,55,11.2842,49.1816,89.24,3.31
Kirakira,82,SB,1632002289,78,-10.4544,161.9205,82.49,12.95
San Patricio,61,US,1632002290,53,28.017,-97.5169,97.52,12.48
Alikalia,100,SL,1632002290,96,9.1667,-11.4,71.15,2.1
Amurzet,97,RU,1632002291,58,47.6967,131.0981,48.42,3.74
Mucurapo,32,TT,1632002291,76,10.6667,-61.5333,84.25,7.38
Pyaozerskiy,100,RU,1632002291,77,65.8333,31.1667,41.31,3.4
Half Moon Bay,75,US,1632002292,70,37.4636,-122.4286,81.81,13.8
Kidal,0,ML,1632002292,15,18.4411,1.4078,92.62,7.0
Aripuanã,55,BR,1632002293,52,-9.1667,-60.6333,84.16,1.05
Wilmington,93,US,1632002129,74,34.2257,-77.9447,83.97,7.29
Kyzyl-Suu,0,KG,1632002293,25,42.3414,78.0056,59.59,7.76
Thurso,52,GB,1632002294,93,58.5927,-3.5259,55.65,8.88
Norman Wells,75,CA,1632002294,66,65.282,-126.8329,51.84,14.97
Amuntai,59,ID,1632002295,93,-2.4177,115.2494,68.49,1.28
Laramie,18,US,1632002295,15,41.3114,-105.5911,84.09,5.01
Salaga,100,GH,1632002295,88,8.5508,-0.5188,75.65,5.55
Broome,95,US,1632002296,84,42.2506,-75.833,73.8,1.99
Port Keats,76,AU,1632002296,77,-14.25,129.55,77.88,2.06
Yenagoa,78,NG,1632002297,93,4.9247,6.2642,75.4,3.44
Puerto Colombia,18,CO,1632002019,81,10.9878,-74.9547,87.89,19.28
Mount Gambier,90,AU,1632002297,93,-37.8333,140.7667,49.91,11.5
Kalabo,88,ZM,1632002298,26,-14.97,22.6814,82.4,12.01
Husavik,100,IS,1632002298,86,66.0449,-17.3389,46.31,9.48
Carnarvon,0,AU,1632002299,67,-24.8667,113.6333,59.07,16.11
Geraldton,0,AU,1632002300,93,-28.7667,114.6,45.01,3.44
Yuzhno-Sukhokumsk,72,RU,1632002300,68,44.6581,45.6436,62.06,11.01
Nuuk,0,GL,1632002022,66,64.1835,-51.7216,37.69,9.64
Mirny,99,RU,1632002029,78,62.5353,113.9611,35.13,2.93
San Quintín,16,MX,1632002301,66,30.4833,-115.95,73.26,18.12
Ayan,47,RU,1632002301,58,56.45,138.1667,46.36,16.71
Khatanga,0,RU,1632002302,76,71.9667,102.5,27.7,12.1
Altamont,100,US,1632002302,88,42.2068,-121.7372,55.4,1.01
Chicama,32,PE,1632002302,71,-7.8447,-79.1469,61.34,9.48
Bethel,23,US,1632002303,74,41.3712,-73.414,81.88,4.61
Hofn,86,IS,1632002303,92,64.2539,-15.2082,51.3,8.99
Port Elizabeth,75,ZA,1632002304,72,-33.918,25.5701,61.09,19.57
San Ramon,57,US,1632002070,68,37.7799,-121.978,79.81,4.0
Port Alfred,23,ZA,1632002305,70,-33.5906,26.891,60.94,31.47
Norsup,66,VU,1632002305,78,-16.0667,167.3833,79.29,16.15
Obregon,100,NI,1632002306,83,11.9566,-85.9636,87.89,8.52
Cintalapa,67,MX,1632002306,80,16.6951,-93.7272,80.67,6.4
Wanxian,100,CN,1632002306,94,30.8039,108.3897,72.73,9.37
Necochea,68,AR,1632002307,83,-38.5473,-58.7368,57.04,10.6
Fortuna,40,US,1632002307,67,40.5982,-124.1573,71.42,3.0
Zaysan,0,KZ,1632002308,71,47.4667,84.8667,48.52,5.35
Dubovka,82,RU,1632002308,53,49.0583,44.829,54.55,11.56
Ginda,76,IN,1632002308,92,30.6945,78.4932,65.34,2.26
Salalah,98,OM,1632002309,88,17.0151,54.0924,79.45,5.21
Asău,72,RO,1632002309,68,46.4333,26.4,57.96,4.83
Atambua,61,ID,1632002310,78,-9.1061,124.8925,70.88,4.34
Maragogi,13,BR,1632002310,82,-9.0122,-35.2225,73.94,9.04
Bongouanou,100,CI,1632002311,99,6.6486,-4.1992,71.28,2.64
Kenai,6,US,1632002311,53,60.5544,-151.2583,56.03,6.78
Ciudad Bolivar,100,VE,1632002312,60,8.1222,-63.5497,85.17,0.49
Causapscal,72,CA,1632002313,67,48.3542,-67.227,62.94,5.68
Aketi,100,CD,1632002313,99,2.7388,23.7833,70.38,2.33
Caravelas,3,BR,1632002314,84,-17.7125,-39.2481,70.77,5.95
Huilong,0,CN,1632002314,84,31.8111,121.655,71.98,9.62
Ubá,17,BR,1632002315,35,-21.12,-42.9428,81.19,4.79
Dikson,11,RU,1632002315,76,73.5069,80.5464,34.18,25.64
Mocuba,95,MZ,1632002315,70,-16.8392,36.9856,70.18,5.7
Yulara,0,AU,1632002316,62,-25.2406,130.9889,51.64,5.75
Abbeville,27,FR,1632002311,76,50.1,1.8333,62.69,6.6
North Myrtle Beach,97,US,1632002316,79,33.816,-78.68,84.49,5.01
Wanning,2,CN,1632002317,87,18.8003,110.3967,78.21,4.29
Jumla,95,NP,1632002317,97,29.2747,82.1838,62.58,1.19
Korla,0,CN,1632002318,25,41.7597,86.1469,70.65,4.54
Barcelos,12,PT,1632002231,86,41.5388,-8.6151,62.92,6.55
Sucúa,40,EC,1632002319,50,-2.4667,-78.1667,83.14,5.75
Toowoomba,32,AU,1632002319,66,-27.55,151.9667,66.25,1.88
Marsh Harbour,73,BS,1632002320,67,26.5412,-77.0636,83.57,5.77
Zhezkazgan,92,KZ,1632002437,44,47.8043,67.7144,50.85,11.27
Dunedin,100,NZ,1632002372,61,-45.8742,170.5036,49.8,10.0
Cherskiy,14,RU,1632002438,66,68.75,161.3,32.14,13.73
Ilulissat,0,GL,1632002438,54,69.2167,-51.1,24.82,3.44
Kamsack,11,CA,1632002439,14,51.5667,-101.9009,89.89,16.02
Viedma,100,AR,1632002440,55,-40.8135,-62.9967,54.84,8.28
Sistranda,100,NO,1632002441,77,63.7256,8.834,55.9,10.6
Atherton,72,GB,1632002442,80,53.5237,-2.4935,65.75,1.99
São João da Barra,7,BR,1632002443,79,-21.6403,-41.0511,74.07,15.14
Oistins,18,BB,1632002444,71,13.0667,-59.5333,81.75,8.52
Ardakān,0,IR,1632002445,14,32.31,54.0175,79.54,9.17
Sokolo,7,ML,1632002446,45,14.7328,-6.1219,87.71,6.73
Stephenville,40,US,1632002446,36,32.2207,-98.2023,95.09,12.66
Bonavista,71,CA,1632002447,89,48.6499,-53.1147,60.51,19.77
Valparaíso,0,CL,1632002198,59,-33.0393,-71.6273,64.04,11.5
Mikuni,87,JP,1632002448,81,36.2171,136.1519,71.65,18.79
Mishkino,10,RU,1632002449,89,55.3389,63.9175,34.2,13.13
Narsaq,100,GL,1632002450,91,60.9167,-46.05,41.22,1.81
Bathsheba,13,BB,1632002450,73,13.2167,-59.5167,81.73,9.26
Tombouctou,11,ML,1632002451,11,20.0,-3.0,96.17,9.95
Udachny,43,RU,1632002452,94,66.4167,112.4,26.74,2.3
South Sioux City,0,US,1632002247,42,42.4739,-96.4136,88.95,5.99
Safaga,0,EG,1632002452,47,26.7292,33.9365,84.33,7.43
Bengkulu,85,ID,1632002453,90,-3.8004,102.2655,75.33,8.7
Belaya Gora,100,RU,1632002454,81,68.5333,146.4167,29.98,14.52
Gusau,12,NG,1632002455,78,12.1628,6.6614,77.63,9.98
Imeni Poliny Osipenko,95,RU,1632002456,58,52.4201,136.4853,45.07,4.74
Dauriya,5,RU,1632002456,78,49.9333,116.8667,37.4,2.13
Naze,79,JP,1632002457,69,28.3667,129.4833,72.52,4.25
Kieta,75,PG,1632002458,79,-6.2167,155.6333,81.64,4.09
Kurumkan,50,RU,1632002459,67,54.3,110.3,43.27,2.1
Carnduff,0,CA,1632002460,10,49.1667,-101.8009,92.89,15.84
Gizo Government Station,87,SB,1632002460,76,-8.103,156.8419,82.49,8.7
Vila Franca do Campo,88,PT,1632002461,75,37.7167,-25.4333,66.61,6.55
Yilan,5,TW,1632002462,92,24.757,121.753,81.82,2.86
Trairi,1,BR,1632002367,80,-3.2778,-39.2689,78.71,12.55
Katsuura,99,JP,1632002463,87,35.1333,140.3,73.51,26.87
Grand Gaube,36,MU,1632002463,87,-20.0064,57.6608,69.39,5.41
Santa Maria,33,BR,1632002464,95,-29.6842,-53.8069,65.14,5.5
Palauig,20,PH,1632002464,77,15.435,119.9045,80.33,3.58
Oxbow,0,CA,1632002465,9,49.2333,-102.1676,92.86,15.23
Maués,77,BR,1632002465,59,-3.3836,-57.7186,84.42,4.68
Taylorville,1,US,1632002466,40,39.5489,-89.2945,92.01,6.91
San Miguel de Tucumán,75,AR,1632002467,35,-26.8241,-65.2226,80.55,3.38
Malm,100,NO,1632002468,75,64.0721,11.2172,55.8,3.11
Crib Point,91,AU,1632002468,74,-38.35,145.2,53.35,25.28
Port-Gentil,100,GA,1632002468,79,-0.7193,8.7815,77.34,13.56
Srednekolymsk,59,RU,1632002469,65,67.45,153.6833,32.7,17.2
Klaksvík,100,FO,1632002469,90,62.2266,-6.589,54.52,20.67
Arrondissement de Blois,100,FR,1632002470,97,47.5833,1.3333,61.18,6.82
Clyde River,90,CA,1632002470,73,70.4692,-68.5914,30.54,7.31
Pozo Colorado,69,PY,1632002471,25,-23.4923,-58.7972,92.77,3.83
Salekhard,100,RU,1632002471,80,66.53,66.6019,34.61,27.29
Atar,100,MR,1632002472,36,20.5169,-13.0499,87.46,12.77
Labuhan,92,ID,1632002472,83,-6.8844,112.2051,76.69,6.53
Rawson,6,AR,1632002347,45,-43.3002,-65.1023,54.79,11.39
Oytal,0,KZ,1632002473,28,42.9057,73.2697,68.13,4.23
Madimba,21,TZ,1632002473,92,-10.4,40.3333,71.56,7.99
Touros,10,BR,1632002474,73,-5.1989,-35.4608,77.67,18.61
Kavieng,37,PG,1632002474,76,-2.5744,150.7967,83.55,14.63
Olafsvik,100,IS,1632002475,90,64.8945,-23.7142,43.59,15.77
Río Gallegos,97,AR,1632002475,78,-51.6226,-69.2181,42.78,12.12
Lavrentiya,35,RU,1632002476,74,65.5833,-171.0,43.2,2.62
Flinders,0,AU,1632002476,69,-34.5833,150.8552,59.05,1.01
Margate,99,GB,1632002477,85,51.3813,1.3862,64.69,6.64
Tambura,95,SS,1632002477,93,5.6,27.4667,68.0,3.42
Soe,38,ID,1632002477,90,-9.8607,124.284,63.48,4.45
Sayyan,33,YE,1632002478,27,15.1718,44.3244,63.93,5.46
Fort Nelson,100,CA,1632002442,72,58.8053,-122.7002,47.86,4.81
Kīhei,39,US,1632002479,87,20.785,-156.4656,81.66,12.21
Tarata,43,BO,1632002479,45,-17.6167,-66.0167,74.62,9.55
Mzimba,0,MW,1632002480,79,-11.9,33.6,63.46,8.39
Blacksburg,1,US,1632002321,63,37.2296,-80.4139,82.13,0.0
Ambon City,40,ID,1632002481,94,-3.6954,128.1814,73.54,1.14
Chardara,0,KZ,1632002481,38,41.2547,67.9692,70.09,10.18
Kavaratti,98,IN,1632002482,79,10.5669,72.642,81.39,10.42
Nabire,100,ID,1632002483,91,-3.3667,135.4833,75.54,3.51
Ostrovnoy,14,RU,1632002484,87,68.0531,39.5131,37.45,3.11
Coyhaique,86,CL,1632002484,86,-45.5752,-72.0662,41.61,5.88
Wasilla,90,US,1632002338,71,61.5814,-149.4394,54.66,0.0
Iqaluit,90,CA,1632002485,81,63.7506,-68.5145,37.13,9.22
Nālūt,0,LY,1632002485,16,30.3333,10.85,81.48,10.67
Ust-Nera,98,RU,1632002486,85,64.5667,143.2,42.17,10.6
Biak,98,ID,1632002486,80,-0.9131,122.8766,74.43,6.98
Barcelona,20,ES,1632002297,91,41.3888,2.159,72.54,6.91
Tucuruí,83,BR,1632002487,56,-3.7661,-49.6725,83.32,1.41
Heze,100,CN,1632002430,92,35.2431,115.4411,64.81,10.0
Alma,94,CA,1632002488,59,48.5501,-71.6491,61.11,9.24
Puerto Escondido,75,MX,1632002488,54,15.85,-97.0667,86.83,6.91
Shushenskoye,53,RU,1632002489,92,53.325,91.9356,46.08,2.68
Vilhena,97,BR,1632002489,35,-12.7406,-60.1458,84.07,1.9
Porosozero,100,RU,1632002490,70,62.7191,32.727,40.41,2.48
Nueva Concepción,11,GT,1632002490,73,14.2,-91.3,87.69,8.32
Kríkellos,6,GR,1632002490,77,38.95,21.1833,78.04,2.91
Arrondissement de Sens,100,FR,1632002491,80,48.1667,3.3333,63.73,11.3
Bereket,97,TM,1632002491,46,39.2446,55.5154,77.79,3.6
Longonjo,91,AO,1632002492,58,-12.9067,15.2533,71.29,4.56
Civitavecchia,69,IT,1632002492,74,42.0933,11.7967,74.32,2.46
Mossamedes,3,AO,1632002493,85,-15.1961,12.1522,60.3,7.81
Tabou,88,CI,1632002493,87,4.423,-7.3528,77.31,6.38
Agadir,0,MA,1632002273,86,30.4202,-9.5982,72.05,8.9
Ixtapa,84,MX,1632002494,80,20.7,-105.2,86.23,5.01
Dakar,38,SN,1632002494,80,14.6937,-17.4441,79.68,8.25
Torbay,1,CA,1632002495,88,47.6666,-52.7314,65.48,14.83
Nouakchott,94,MR,1632002495,74,18.0858,-15.9785,82.33,13.29
Okato,35,NZ,1632002495,67,-39.2,173.8833,49.42,7.74
Inza,99,RU,1632002496,82,53.8533,46.3586,35.47,1.83
Leh,0,IN,1632002496,28,34.1667,77.5833,58.1,3.85
Ulladulla,8,AU,1632002497,49,-35.35,150.4667,58.87,8.5
Gawler,13,AU,1632002497,84,-34.6,138.7333,53.11,9.93
Tukums,1,LV,1632002498,73,56.9669,23.1553,42.15,10.56
Dwārka,100,IN,1632002498,84,22.2394,68.9678,81.46,8.79
Mehamn,0,NO,1632002499,74,71.0357,27.8492,43.02,12.8
Morros,7,BR,1632002499,22,-9.4467,-46.3003,85.59,2.1
Bhīmavaram,100,IN,1632002500,90,16.5333,81.5333,76.37,4.56
Berdigestyakh,99,RU,1632002500,83,62.0989,126.6992,35.31,12.21
Haines Junction,100,CA,1632002500,69,60.7522,-137.5108,47.08,1.97
Alice Springs,40,AU,1632002295,71,-23.7,133.8833,54.95,5.75
Krasnosel'kup,73,RU,1632002501,90,65.7,82.4667,38.61,10.02
